SRS_ID;WADMKK;WADMPR;NO;NAMA ITEM DATA;KELURAHAN;KECAMATAN;LATITUDE;LONGITUDE;TIPE ATM;ALAMAT
SRGI 2013;Agam;Sumatera Barat;1;A. YANI PAYAKUMBUH;LUNDANG;PAYAKUMBUH BARAT;-0.22196576220638836;100.63305271954982;ATM Tunai;JL.A.YANI NO.24 PAYAKUMBUH
SRGI 2013;Dharmasraya;Sumatera Barat;2;APOTIK METRO GADUT;NAGARI GADUT;TILATANG KAMANG;-0.2760417760415793;100.36624572208136;ATM Tunai;JL.RAYA BUKIT AMBACANG NO.108 KAB AGAM
SRGI 2013;Kepulauan Mentawai;Sumatera Barat;3;AROMA KITCHEN RESTO;PARUPUK TABING;KOTO TANGAH;-0.8704840516223766;100.34474611336655;ATM Tunai;JL.PROF.DR HAMKA RT.003 RW.002
SRGI 2013;Kota Bukittinggi;Sumatera Barat;4;BANDARA INT MINANGKABAU;BATANG ANAI;BATANG ANAI;-0.7855712630241705;100.30237062684101;ATM Tunai;JL. SYECH BURHANUDDIN KETAPING PADANG PARIAMAN
SRGI 2013;Kota Padang;Sumatera Barat;5;BLG KC BUKITTINGGI CRM;ATTS;GUGUAK PANJANG;-0.288985003135685;100.37255410656847;CRM;JL. PERINTIS KEMERDEKAAN NO. 15 - BUKITTINGGI
SRGI 2013;Kota Padang Panjang;Sumatera Barat;6;BNI SYARIAH BUKITTINGGI;TAROK DIPO;GUGUK PANJANG;-0.32069737654343955;100.37793613306735;ATM Tunai;JL.SUDIRMAN BUKITTINGGI / BNI SYARIAH
SRGI 2013;Kota Pariaman;Sumatera Barat;7;BNI SYARIAH SOLOK;IV KOTO;KEC. PULAU PUNJUNG;-0.9513207786300344;101.49086673079759;CRM;JL. LINTAS SUMATERA KM1 JORONG SIMPANG, POGANG NAGARI IV
SRGI 2013;Kota Payakumbuh;Sumatera Barat;8;BPK RI SUMATRA BARAT;LOLONG BELANTI;PADANG UTARA;-0.9092380188975547;100.3557392738317;ATM Tunai;JL KHATIB SULAIMAN NO. 54 PADANG
SRGI 2013;Kota Sawahlunto;Sumatera Barat;9;CAPEM SAWAH LUNTO;PASAR REMAJA;PASAR REMAJA;-0.6438741571420963;100.77908410947727;ATM Tunai;JL. A YANI NO. 205 KOMPLEKS PASAR REMAJA KOTA SAWAHLUNTO
SRGI 2013;Kota Solok;Sumatera Barat;10;DRIVE THRU;KAMPUNG PONDOK;PADANG BARAT;-0.9544896634870583;100.3595743192732;ATM Tunai;JL. DOBI NO. 1 PADANG
SRGI 2013;Lima Puluh Kota;Sumatera Barat;11;GALLERY KCP A YANI;PADANG PASIR;PADANG BARAT;-0.9424162338556553;100.35937832869102;CRM;JALAN JEND. A. YANI NO.18 PADANG
SRGI 2013;Padang Pariaman;Sumatera Barat;12;GALLERY KCP A YANI;PADANG PASIR;PADANG BARAT;-0.9424162338556553;100.35937832869102;ATM Tunai;JL. A YANI NO. 18 PADANG
SRGI 2013;Pasaman;Sumatera Barat;13;GALLERY KCP A YANI;PADANG PASIR;PADANG BARAT;-0.9424162338556553;100.35937832869102;ATM Non-Tunai;JL. A YANI NO. 18 PADANG
SRGI 2013;Pasaman Barat;Sumatera Barat;14;GALLERY KCP A YANI;PADANG PASIR;PADANG BARAT;-0.9424162338556553;100.35937832869102;CRM;JL. A YANI NO. 18 PADANG
SRGI 2013;Pesisir Selatan;Sumatera Barat;15;GALLERY KCP A YANI;PADANG PASIR;PADANG BARAT;-0.9424162338556553;100.35937832869102;ATM Tunai;JL. JEND. A. YANI NO. 18 PADANG
SRGI 2013;Sijunjung;Sumatera Barat;16;GALLERY KCP A YANI;PADANG PASIR;PADANG BARAT;-0.9424162338556553;100.35937832869102;ATM Tunai;JL. JEND. A. YANI NO. 18, PADANG
SRGI 2013;Solok;Sumatera Barat;17;GALLERY KCP A YANI;PADANG PASIR;PADANG BARAT;-0.9424162338556553;100.35937832869102;ATM Tunai;JL. PEJANGGIK NO. 45 - 47 CAKRANEGARA
SRGI 2013;Solok Selatan;Sumatera Barat;18;GALLERY KCP A YANI;PADANG PASIR;PADANG BARAT;-0.9424162338556553;100.35937832869102;ATM Tunai;JL. SOEKARNO HATTA NO.918E
SRGI 2013;Tanah Datar;Sumatera Barat;19;GALLERY KCP AIR TAWAR;AIR TAWAR BARAT;PADANG UTARA;-0.8941842834144316;100.35159502227036;CRM;JALAN DR. HAMKA KOMPLEK UNP PADANG
;;Sumatera Barat;20;GALLERY KCP AIR TAWAR;AIR TAWAR BARAT;PADANG UTARA;-0.8941842834144316;100.35159502227036;ATM Tunai;JL. DR. HAMKA KOMP. UNP PADANG
;;Sumatera Barat;21;GALLERY KCP AIR TAWAR;AIR TAWAR BARAT;PADANG UTARA;-0.8941842834144316;100.35159502227036;ATM Tunai;JL. HOLLYWOOD BOULEVARD, RUKO RODEO DRIVE BLOK B6 NO.1
;;Sumatera Barat;22;GALLERY KCP AIR TAWAR;AIR TAWAR BARAT;PADANG UTARA;-0.8941842834144316;100.35159502227036;ATM Tunai;RUKO CIMANGGIS 2 JL. RAYA BOGOR KM 30 RT .07/01 CIMANGGIS DEPOK
;;Sumatera Barat;23;GALLERY KCP AUR KUNING;TAROK DIPO;GUGUK PANJANG;-0.3097821189955265;100.38470073822563;ATM Non-Tunai;JL.BELAKANG PASAR AUR KUNING BUKITTINGGI
;;Sumatera Barat;24;GALLERY KCP AUR KUNING;TAROK DIPO;GUGUK PANJANG;-0.3097821189955265;100.38470073822563;ATM Tunai;JL.BELAKANG PASAR AUR KUNING BUKITTINGGI
;;Sumatera Barat;25;GALLERY KCP BATUSANGKAR;BERINGIN;LIMA KAUM;-0.46049814351097224;100.57943701627764;CRM;JALAN SUKARNO-HATTA NO.3 BATUSANGKAR
;;Sumatera Barat;26;GALLERY KCP BATUSANGKAR;BERINGIN;LIMA KAUM;-0.46049814351097224;100.57943701627764;ATM Tunai;JL S.A BAGAGARSYAH NO 16 PAGARUYUNG TJ EMAS KAB TANAH DATAR
;;Sumatera Barat;27;GALLERY KCP BATUSANGKAR;BERINGIN;LIMA KAUM;-0.46049814351097224;100.57943701627764;ATM Tunai;JL. SOEKARNO HATTA NO. 3 BATUSANGKAR
;;Sumatera Barat;28;GALLERY KCP BATUSANGKAR;BERINGIN;LIMA KAUM;-0.46049814351097224;100.57943701627764;ATM Tunai;JL. SOEKARNO HATTA NO. 3 BATUSANGKAR
;;Sumatera Barat;29;GALLERY KCP DOBI;KAMPUNG PONDOK;PADANG BARAT;-0.9479572391198565;100.35950907672775;ATM Tunai;JL. DOBI NO. 1 PADANG
;;Sumatera Barat;30;GALLERY KCP DOBI;KAMPUNG PONDOK;PADANG BARAT;-0.9479572391198565;100.35950907672775;ATM Tunai;JL. DOBI NO. 1 PADANG
;;Sumatera Barat;31;GALLERY KCP DOBI;KAMPUNG PONDOK;PADANG BARAT;-0.9479572391198565;100.35950907672775;CRM;JL. DOBI NO. 1 PADANG
;;Sumatera Barat;32;GALLERY KCP DOBI;KAMPUNG PONDOK;PADANG BARAT;-0.9479572391198565;100.35950907672775;CRM;JL. PROVINSI KM. 168, SATUI, ANGSANA, TANAH BUMBU, 72275
;;Sumatera Barat;33;GALLERY KCP DOBI;NIPAH;PADANG BARAT;-0.9479572391198565;100.35950907672775;ATM Tunai;JL DOBI NO 1
;;Sumatera Barat;34;GALLERY KCP KOTOBARU SOLOK;KOTO BARU;DHARMASRAYA;-1.087708769576455;101.72060842231092;CRM;JALAN LINTAS SUMATERA SIMPANG EMPAT KOTOBARU, DHARMASRAYA
;;Sumatera Barat;35;GALLERY KCP PADANG PANJANG;BUKIT SURUNGAN;PADANG PANJANG BARAT;-0.4547634586378313;100.40217941222261;ATM Tunai;JL. SOEKARNO - HATTA NO.12-14 PADANG PANJANG
;;Sumatera Barat;36;GALLERY KCP PADANG PANJANG;BUKIT SURUNGAN;PADANG PANJANG BARAT;-0.4547634586378313;100.40217941222261;ATM Tunai;JL. SOEKARNO - HATTA NO.12-14 PADANG PANJANG
;;Sumatera Barat;37;GALLERY KCP PADANG PANJANG;BUKIT SURUNGAN;PADANG PANJANG BARAT;-0.4547634586378313;100.40217941222261;CRM;JL. SOEKARNO - HATTA NO.12-14 PADANG PANJANG
;;Sumatera Barat;38;GALLERY KCP PARIAMAN;KAMPUNG PONDOK;PARIAMAN TENGAH;-0.6232614564843586;100.11997945752671;CRM;JALAN DIPONEGORO NO.14 PARIAMAN
;;Sumatera Barat;39;GALLERY KCP PARIAMAN;KAMPUNG PONDOK;PARIAMAN TENGAH;-0.6232614564843586;100.11997945752671;ATM Tunai;JALAN DIPONEGORO NO.14 PARIAMAN
;;Sumatera Barat;40;GALLERY KCP PARIAMAN;KAMPUNG PONDOK;PARIAMAN TENGAH;-0.6232614564843586;100.11997945752671;ATM Tunai;JL. DIPONEGORO NO. 14 PARIAMAN
;;Sumatera Barat;41;GALLERY KCP PARIAMAN;KAMPUNG PONDOK;PARIAMAN TENGAH;-0.6232614564843586;100.11997945752671;ATM Tunai;JL. DIPONOGORO NO. 14 PARIAMAN
;;Sumatera Barat;42;GALLERY KCP PARIAMAN;KAMPUNG PONDOK;PARIAMAN TENGAH;-0.6232614564843586;100.11997945752671;ATM Tunai;JLN.YOS SUDARSO N0.309 LUBUK LINGGAU
;;Sumatera Barat;43;GALLERY KCP PASAMAN;LINGKUANG AUA;PASAMAN;-0.23487734460130144;99.8348646520821;ATM Tunai;JL JENDRAL SUDIRMAN SIMPANG MEPAT PASAMAN
;;Sumatera Barat;44;GALLERY KCP PASAMAN;LINGKUANG AUA;PASAMAN;-0.23487734460130144;99.8348646520821;ATM Tunai;JL JENDRAL SUDIRMAN SIMPANG MEPAT PASAMAN
;;Sumatera Barat;45;GALLERY KCP PASAMAN;LINGKUANG AUA;PASAMAN;-0.23487734460130144;99.8348646520821;CRM;JL JENDRAL SUDIRMAN SIMPANG MEPAT PASAMAN
;;Sumatera Barat;46;GALLERY KCP VETERAN;KEL. PADANG PASIR;PADANG BARAT;-0.9414262344153607;100.35503547103743;CRM;JL. VETERAN NO. 10
;;Sumatera Barat;47;GALLERY KCP VETERAN;PURUS;PADANG BARAT;-0.9414262344153607;100.35503547103743;ATM Non-Tunai;JL. VETERAN NO. 10 PADANG
;;Sumatera Barat;48;GALLERY KCP VETERAN;PURUS;PADANG BARAT;-0.9415073204134903;100.35487447612265;ATM Tunai;JL. VETERAN NO. 10 PADANG
;;Sumatera Barat;47;GALLERY KCP VETERAN;PURUS;PADANG BARAT;-0.9415073204134903;100.35487447612265;ATM Tunai;JL. VETERAN NO. 10 PADANG
;;Sumatera Barat;50;GALLERY KCU BUKITTINGGI;ATTS;GUGUAK PANJANG;-0.30410369805251514;100.37054954990658;CRM;JALAN PERINTIS KEMERDEKAAN NO.15 BUKIT TINGGI
;;Sumatera Barat;51;GALLERY KCU BUKITTINGGI;ATTS;GUGUK PANJANG;-0.30464450024327455;100.37054955036216;ATM Tunai;JALANPERINTIS KEMERDEKAAN NO.15 BUKIT TINGGI
;;Sumatera Barat;52;GALLERY KCU BUKITTINGGI;ATTS;GUGUK PANJANG;-0.30464450024327455;100.37054955036216;CRM;JL. PERINTIS KEMERDEKAAN NO.15 BUKITTINGGI
;;Sumatera Barat;53;GALLERY KCU BUKITTINGGI;ATTS;GUGUK PANJANG;-0.30464450024327455;100.37054955036216;ATM Tunai;JL.PERINTIS KEMERDEKAAN NO 15 BUKITTINGGI
;;Sumatera Barat;54;GALLERY KCU BUKITTINGGI;ATTS;GUGUK PANJANG;-0.30464450024327455;100.37054955036216;ATM Non-Tunai;JL.PERINTIS KEMERDEKAAN NO 15 BUKITTINGGI
;;Sumatera Barat;55;GALLERY KCU BUKITTINGGI;ATTS;GUGUK PANJANG;-0.30464450024327455;100.37054955036216;ATM Tunai;JL.PERINTIS KEMERDEKAAN NO.15 BUKIT TINGGI
;;Sumatera Barat;56;GALLERY KCU PADANG;KAMPUNG JUA;PADANG BARAT;-0.9431937484678314;100.36764192866495;ATM Non-Tunai;JL. PROKLAMASI NO. 45 PADANG
;;Sumatera Barat;57;GALLERY KCU PADANG;KAMPUNG JUA;PADANG BARAT;-0.9431937484678314;100.36764192866495;ATM Tunai;JL. PROKLAMASI NO. 45 PADANG
;;Sumatera Barat;58;GALLERY KCU PADANG;KAMPUNG JUA;PADANG BARAT;-0.9431937484678314;100.36764192866495;CRM;JL. PROKLAMASI NO. 45 PADANG
;;Sumatera Barat;59;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;-0.22491110613613055;100.6291147840516;CRM;JALAN SUKARNO-HATTA NO.86 PAYAKUMBUH
;;Sumatera Barat;60;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;-0.22491110613613055;100.6291147840516;ATM Tunai;JL VETERAN NO.25 & 27 PAYAKUMBUH
;;Sumatera Barat;61;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;-0.22491110613613055;100.6291147840516;ATM Tunai;JL. SOEKARNO HATTA NO. 86 PAYAKUMBUH
;;Sumatera Barat;62;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;-0.22491110613613055;100.6291147840516;CRM;JL. SOEKARNO HATTA NO. 86 PAYAKUMBUH
;;Sumatera Barat;63;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;-0.22491110613613055;100.6291147840516;ATM Non-Tunai;JL.SOEKARNO HATTA NO.86 PAYAKUMBUH
;;Sumatera Barat;64;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;-0.22491110613613055;100.6291147840516;ATM Tunai;JL.SOEKARNO HATTA NO.86 PAYAKUMBUH
;;Sumatera Barat;65;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;-0.22491110613613055;100.6291147840516;CRM;JL.SOEKARNO HATTA NO.86 PAYAKUMBUH
;;Sumatera Barat;66;GALLERY KCU SOLOK;PASAR PANDAN AIR MATI;TANJUNG HARAPAN;-0.7733327815702054;100.65962656208283;CRM;JALAN K. H AHMAD DAHLAN NO.123 - 125 SOLOK
;;Sumatera Barat;67;GALLERY KCU SOLOK;PASAR PANDAN AIR MATI;TANJUNG HARAPAN;-0.7733327815702054;100.65962656208283;CRM;JL. K.H. AHMAD DAHLAN N0. 123-125 SOLOK
;;Sumatera Barat;68;GALLERY KCU SOLOK;PASAR PANDAN AIR MATI;TANJUNG HARAPAN;-0.7733327815702054;100.65962656208283;ATM Non-Tunai;JL. K.H. AHMAD DAHLAN N0. 123-125 SOLOK
;;Sumatera Barat;69;GALLERY KCU SOLOK;PASAR PANDAN AIR MATI;TANJUNG HARAPAN;-0.7733327815702054;100.65962656208283;ATM Tunai;JL. K.H. AHMAD DAHLAN N0. 123-125 SOLOK
;;Sumatera Barat;70;GALLERY KCU SOLOK;PASAR PANDAN AIR MATI;TANJUNG HARAPAN;-0.7733327815702054;100.65962656208283;ATM Tunai;JL. K.H. AHMAD DAHLAN N0. 123-125 SOLOK
;;Sumatera Barat;71;GALLERY KCU SOLOK;PASAR PANDAN AIR MATI;TANJUNG HARAPAN;-0.7733327815702054;100.65962656208283;ATM Tunai;JL. K.H. AHMAD DAHLAN N0. 123-125 SOLOK
;;Sumatera Barat;72;GALLERY UNIVERSITAS ANDALAS;LIMAU MANIS;PAUH;-0.9380553285774798;100.38097500569003;ATM Tunai;KOMP. UNIV. ANDALAS JL. GEDUNG PKM KAMPUS LIMAU MANIS PADANG
;;Sumatera Barat;73;GALLERY UNIVERSITAS ANDALAS;LIMAU MANIS;PAUH;-0.9380553285774798;100.38097500569003;ATM Tunai;KOMPLEKS UNIVERSITAS ANDALAS LIMAU MANIS PADANG
;;Sumatera Barat;74;GALLERY UNIVERSITAS ANDALAS;LIMAU MANIS;PAUH;-0.9380553285774798;100.38097500569003;ATM Tunai;KOMPLEKS UNIVERSITAS ANDALAS LIMAU MANIS PADANG
;;Sumatera Barat;75;GAREGEH;GAREGEH;MANDIANGIN KOTO SELAYAN;-0.2952669903042768;100.3852879978301;ATM Tunai;JL.SOEKARNO HATTA GANTING BUKITTINGGI
